u0,delta,m_sim,m_theory,k_sim,k_theory,max_vorticity_sim,sigma_measured,sigma_theory
0.1,0.1,5,7.957747154594767,3.141592653589793,5.0,0.8954682946205139,-0.001372162500196028,0.2
0.1,0.2,6,3.9788735772973833,3.7699111843077517,2.5,0.8795588612556458,-0.017745263079486567,0.1
0.1,0.4,4,1.9894367886486917,2.5132741228718345,1.25,0.8320325613021851,-0.020291414979640685,0.05
0.1,0.6,10,1.3262911924324612,6.283185307179586,0.8333333333333334,0.7252378463745117,-0.02052677826980701,0.03333333333333334
0.1,0.8,10,0.9947183943243458,6.283185307179586,0.625,0.7507150173187256,-0.021514696282262876,0.025
0.1,1.0,13,0.7957747154594768,8.168140899333462,0.5,0.7335168719291687,-0.02282760542005384,0.020000000000000004
0.2,0.1,5,7.957747154594767,3.141592653589793,5.0,1.6050279140472412,0.05257115792328191,0.4
0.2,0.2,4,3.9788735772973833,2.5132741228718345,2.5,1.159484624862671,-0.006068232145377242,0.2
0.2,0.4,6,1.9894367886486917,3.7699111843077517,1.25,0.7405614852905273,-0.019921920586502495,0.1
0.2,0.6,13,1.3262911924324612,8.168140899333462,0.8333333333333334,0.7809673547744751,-0.02010332535023525,0.06666666666666668
0.2,0.8,14,0.9947183943243458,8.79645943005142,0.625,0.7590011954307556,-0.023154238893881837,0.05
0.2,1.0,2,0.7957747154594768,1.2566370614359172,0.5,0.8289898037910461,-0.023096629754856123,0.04000000000000001
0.3,0.1,3,7.957747154594767,1.8849555921538759,5.0,2.0281245708465576,0.08903067368967846,0.6
0.3,0.2,4,3.9788735772973833,2.5132741228718345,2.5,1.237303376197815,0.029197346146739824,0.3
0.3,0.4,5,1.9894367886486917,3.141592653589793,1.25,0.9235761761665344,-0.017949402407620003,0.15
0.3,0.6,12,1.3262911924324612,7.5398223686155035,0.8333333333333334,0.8492775559425354,-0.021121606842899956,0.1
0.3,0.8,13,0.9947183943243458,8.168140899333462,0.625,0.8231478929519653,-0.022421755018973425,0.075
0.3,1.0,18,0.7957747154594768,11.309733552923255,0.5,0.8630955815315247,-0.0246635901182994,0.06
0.4,0.1,3,7.957747154594767,1.8849555921538759,5.0,2.485597848892212,0.10897347661926761,0.8
0.4,0.2,3,3.9788735772973833,1.8849555921538759,2.5,1.4051753282546997,0.06745480240328545,0.4
0.4,0.4,4,1.9894367886486917,2.5132741228718345,1.25,1.0926697254180908,-0.007838858792131524,0.2
0.4,0.6,13,1.3262911924324612,8.168140899333462,0.8333333333333334,0.845385730266571,-0.02111283035721407,0.13333333333333336
0.4,0.8,15,0.9947183943243458,9.42477796076938,0.625,0.8463553786277771,-0.023058170740345125,0.1
0.4,1.0,12,0.7957747154594768,7.5398223686155035,0.5,0.9661375284194946,-0.02461940421130441,0.08000000000000002
0.5,0.1,1,7.957747154594767,0.6283185307179586,5.0,3.6400303840637207,0.10301754205218454,1.0
0.5,0.2,2,3.9788735772973833,1.2566370614359172,2.5,1.8831616640090942,0.11450527490012459,0.5
0.5,0.4,2,1.9894367886486917,1.2566370614359172,1.25,1.1296170949935913,0.00038497223669139015,0.25
0.5,0.6,12,1.3262911924324612,7.5398223686155035,0.8333333333333334,0.9162979125976562,-0.02026464153411025,0.16666666666666669
0.5,0.8,13,0.9947183943243458,8.168140899333462,0.625,0.9500733017921448,-0.02248071245356009,0.125
0.5,1.0,5,0.7957747154594768,3.141592653589793,0.5,0.8681216835975647,-0.02486994846106805,0.1
